Starting server on port 5000/udp
Using selector: EpollSelector
Starting server on port 8443/tcp, use <Ctrl-C> to stop
{'timestamp': '2022-05-13T15:39:28.135232', 'src_ip': '45.9.20.101', 'payload_printable': '"POST /mifs/.;/services/LogService HTTP/1.1" 200 -'}
{'timestamp': '2022-05-13T15:45:47.448797', 'src_ip': '45.9.20.101', 'payload_printable': '"GET /console/ HTTP/1.1" 404 -'}
{'timestamp': '2022-05-13T15:53:51.869780', 'src_ip': '45.9.20.101', 'payload_printable': '"POST /Autodiscover/Autodiscover.xml HTTP/1.1" 200 -'}
{'timestamp': '2022-05-13T15:59:24.659744', 'src_ip': '45.9.20.101', 'payload_printable': '"GET /_ignition/execute-solution HTTP/1.1" 404 -'}
{'timestamp': '2022-05-13T16:05:29.438573', 'src_ip': '45.9.20.101', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2022-05-13T16:24:54.277360', 'src_ip': '45.9.20.101', 'payload_printable': 'Request timed out: timeout('The read operation timed out')'}
{'timestamp': '2022-05-13T16:31:37.782353', 'src_ip': '45.9.20.101', 'payload_printable': '"POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 200 -'}
{'timestamp': '2022-05-13T16:40:42.796268', 'src_ip': '45.9.20.101', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2022-05-13T16:42:43.139586', 'src_ip': '45.9.20.101', 'payload_printable': '"GET /actuator/gateway/routes HTTP/1.1" 404 -'}
{'timestamp': '2022-05-13T16:45:04.953922', 'src_ip': '184.105.139.67', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
{'timestamp': '2022-05-14T11:55:20.251736', 'src_ip': '184.105.247.195', 'payload_printable': '"GET / HTTP/1.1" 200 -'}
